                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8367,                 3.2612,                 2.0443,                0.00278,                0.83333,                0.06964,                0.03225,                 1.5199,                 4.0728,                  1.977,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.6381,                 3.1334,                 1.9217,                0.00278,                0.83333,                0.04339,                0.01667,                 1.5817,                  4.264,                 2.0649,               0.066663,              0.0036634,              0.0036634
                      2,                 1.5956,                 3.1173,                 1.7952,                0.00333,                      1,                0.08924,                0.02765,                 1.7629,                 4.5726,                 2.4534,               0.049489,              0.0054891,              0.0054891
                      3,                 1.2777,                  2.722,                 1.5375,                0.00333,                      1,                0.05834,                0.01825,                 1.8787,                 4.4578,                 2.5336,               0.032277,              0.0072772,              0.0072772
                      4,                 1.2552,                 2.7713,                 1.5845,                0.00333,                      1,                0.19258,                0.04422,                 2.0587,                 4.6141,                 2.4747,               0.015028,              0.0090278,              0.0090278
                      5,                 1.2341,                 2.5809,                 1.4957,                0.00333,                      1,                0.16802,                0.05014,                 2.0518,                 4.3318,                 2.3324,               0.009505,               0.009505,               0.009505
                      6,                  1.329,                 2.3993,                 1.5696,                0.33131,                0.16667,                0.22217,                0.05547,                 2.8295,                 3.8026,                 2.7273,               0.009505,               0.009505,               0.009505
                      7,                 1.3993,                 2.3655,                 1.6465,                0.81736,                0.16667,                0.26888,                0.05564,                 2.8459,                 3.7145,                 2.9099,               0.009406,               0.009406,               0.009406
                      8,                  1.477,                 2.5058,                 1.6693,                0.27305,                0.16667,                0.10753,                0.04035,                 2.2407,                 3.5644,                 2.6832,               0.009307,               0.009307,               0.009307
                      9,                 1.2613,                 2.2526,                 1.5267,                0.27391,                    0.5,                0.37312,                0.07332,                 2.1181,                 3.2932,                 2.5685,               0.009208,               0.009208,               0.009208
                     10,                 1.3283,                 2.3303,                 1.6066,                0.33645,                    0.5,                0.27461,                 0.1156,                 1.9683,                 3.0461,                 2.1983,               0.009109,               0.009109,               0.009109
                     11,                 1.3915,                 2.2155,                 1.5764,                0.17902,                    0.5,                0.14283,                0.04956,                 2.1142,                 3.9608,                 2.4077,                0.00901,                0.00901,                0.00901
                     12,                 1.4175,                 2.2418,                 1.5918,                0.32954,                0.33333,                0.32086,                0.14716,                 2.4962,                 3.4193,                 2.5259,               0.008911,               0.008911,               0.008911
                     13,                 1.3999,                 2.3045,                 1.5913,                0.26843,                0.33333,                0.29271,                0.11316,                 1.6595,                 3.2504,                 2.0543,               0.008812,               0.008812,               0.008812
                     14,                 1.2996,                 2.1571,                 1.4854,                0.90331,                0.16667,                0.31133,                0.13672,                 1.7037,                 3.3546,                 2.2321,               0.008713,               0.008713,               0.008713
                     15,                 1.3311,                 2.1355,                  1.563,                0.35798,                0.66667,                0.44776,                0.23933,                 1.4919,                 2.9432,                 1.8917,               0.008614,               0.008614,               0.008614
                     16,                  1.295,                 2.0539,                 1.4791,                0.52188,                0.66667,                0.61567,                0.30022,                 1.7339,                 3.0001,                 2.3025,               0.008515,               0.008515,               0.008515
                     17,                 1.3507,                 2.1747,                 1.5679,                0.90431,                0.33333,                0.48895,                0.26158,                 1.9376,                 3.4436,                 2.4986,               0.008416,               0.008416,               0.008416
                     18,                 1.3383,                 2.1486,                 1.5613,                0.45095,                0.66667,                  0.504,                0.14279,                  1.895,                 3.7381,                 2.8136,               0.008317,               0.008317,               0.008317
                     19,                 1.2109,                  2.017,                 1.4577,                0.64235,                    0.5,                0.55699,                 0.0992,                 2.0568,                 4.7808,                  2.875,               0.008218,               0.008218,               0.008218
                     20,                 1.2142,                 1.9399,                 1.4705,                0.28647,                0.33333,                0.19968,                0.10666,                 2.4907,                 3.6349,                  3.143,               0.008119,               0.008119,               0.008119
                     21,                 1.2546,                 2.0016,                 1.5118,                0.72092,                0.33333,                0.49728,                0.26157,                 2.2862,                 3.3168,                  3.003,                0.00802,                0.00802,                0.00802
                     22,                 1.3152,                 1.9878,                 1.5081,                0.43709,                0.33333,                0.31792,                0.20114,                 2.3606,                 3.3827,                 2.9524,               0.007921,               0.007921,               0.007921
                     23,                 1.3601,                 1.9744,                 1.5735,                 0.9093,                    0.5,                0.52998,                 0.2603,                 2.0665,                 2.9219,                 2.7998,               0.007822,               0.007822,               0.007822
                     24,                  1.276,                 1.8483,                 1.4517,                 0.9008,                0.33333,                 0.4913,                0.22808,                 1.9491,                 2.6824,                 2.5634,               0.007723,               0.007723,               0.007723
                     25,                  1.219,                 1.8741,                 1.4512,                      1,                 0.4716,                0.54383,                0.26422,                 1.8862,                 2.9639,                 2.4689,               0.007624,               0.007624,               0.007624
                     26,                 1.1985,                 1.9171,                 1.4238,                 0.6537,                    0.5,                0.48383,                0.27811,                 1.8613,                 2.9687,                 2.6166,               0.007525,               0.007525,               0.007525
                     27,                 1.1966,                 1.9241,                 1.4351,                  0.462,                    0.5,                 0.4919,                0.25324,                  2.169,                 3.3939,                 3.2084,               0.007426,               0.007426,               0.007426
                     28,                 1.3083,                 1.9059,                 1.5894,                      1,                0.46457,                0.60214,                0.21433,                   2.01,                 2.5891,                 2.9618,               0.007327,               0.007327,               0.007327
