                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2624,                 4.7436,                   1.51,                 0.5288,                0.49686,                 0.3315,                0.31834,                0.93043,                  4.007,                 1.3076,                 0.0856,                 0.0016,                 0.0016
                      1,                0.98424,                 2.4228,                 1.2692,                0.78345,                0.42639,                0.60867,                0.56339,                0.60824,                 3.1728,                 1.0747,               0.070267,              0.0032673,              0.0032673
                      2,                0.77377,                 1.4446,                 1.1356,                0.95158,                0.77278,                0.92556,                0.79673,                0.61309,                 2.1084,                 1.0426,               0.054901,               0.004901,               0.004901
                      3,                0.71181,                 1.1887,                 1.0344,                 0.9893,                0.82176,                0.95333,                0.77479,                0.67937,                 1.5369,                 1.0587,               0.039501,               0.006501,               0.006501
                      4,                 0.7725,                 1.7996,                 1.1518,                0.36553,                  0.625,                0.75333,                0.59717,                0.87134,                 4.2115,                 1.1146,               0.024067,              0.0080674,              0.0080674
                      5,                0.79959,                 1.3224,                 1.0952,                      1,                   0.75,                0.74534,                0.62719,                0.70963,                 6.2088,                 1.0509,               0.009505,               0.009505,               0.009505
                      6,                0.73372,                 3.0187,                 1.0449,                0.54008,                0.60573,                0.65178,                0.57186,                 0.6754,                 3.4953,                0.99425,               0.009505,               0.009505,               0.009505
                      7,                0.77268,                 2.4911,                 1.0473,                0.55659,                    0.5,                0.55908,                0.48434,                0.67277,                  3.508,                0.99072,               0.009406,               0.009406,               0.009406
                      8,                0.90487,                 2.0762,                 1.0951,                0.71038,                  0.875,                0.87413,                0.74857,                0.80369,                 1.3796,                0.98126,               0.009307,               0.009307,               0.009307
                      9,                0.72278,                 1.3238,                0.99599,                0.50988,                   0.75,                0.86306,                0.77878,                  0.721,                 3.4436,                0.98866,               0.009208,               0.009208,               0.009208
                     10,                0.71401,                 1.7954,                0.95083,                0.82076,                0.98445,                  0.995,                0.82063,                0.69279,                 1.4964,                0.98607,               0.009109,               0.009109,               0.009109
                     11,                0.74797,                 1.7635,                 1.0079,                0.76761,                  0.875,                0.84009,                0.71862,                0.84015,                 1.3596,                0.94842,                0.00901,                0.00901,                0.00901
                     12,                0.76773,                  0.983,                0.97549,                      1,                   0.75,                0.94143,                0.76285,                0.87442,                 2.3159,                0.92361,               0.008911,               0.008911,               0.008911
                     13,                0.70794,                 1.3572,                 1.0028,                 0.7546,                0.84829,                   0.92,                0.71207,                 1.0113,                 1.0799,                0.92847,               0.008812,               0.008812,               0.008812
